ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.118,1.1449,10.2405,-0.3007,1.3018,9.7152,0.1469,-0.1411,0.4605,-0.1457,-0.1335,0.1669,0.0,128.14,505.85,-29.27,346.03,-7.99,2.1,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,8,2019-09-17 01:40:53:632
-0.0534,1.1018,10.1926,-0.2815,1.2861,9.7179,0.2306,-0.2057,0.43,-0.1207,-0.118,0.1552,0.0,128.29,505.7,-29.41,345.9,-7.63,1.77,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,28,2019-09-17 01:40:53:652
-0.0438,1.006,10.0896,-0.2674,1.2754,9.7197,0.226,-0.2047,0.3837,-0.0547,-0.0504,0.1461,0.0,125.86,506.89,-30.35,345.9,-7.63,1.77,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,48,2019-09-17 01:40:53:672
0.0735,0.9845,10.092,-0.254,1.2658,9.7213,0.3347,-0.2959,0.2783,-0.0099,-0.003,0.143,0.0,126.02,506.74,-29.75,346.13,-7.43,1.52,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,67,2019-09-17 01:40:53:691
0.1453,0.9677,9.879,-0.2513,1.2636,9.7216,0.4215,-0.3258,0.1581,-0.0131,0.005,0.1062,0.0,126.79,505.69,-28.97,346.13,-7.43,1.52,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,88,2019-09-17 01:40:53:712
0.1214,0.9965,9.958,-0.2459,1.2601,9.7223,0.3482,-0.2927,0.1793,2.0E-4,2.0E-4,0.0865,0.0,126.01,506.74,-30.19,346.13,-7.39,1.47,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,107,2019-09-17 01:40:53:731
0.1286,0.9414,9.776,-0.2436,1.2599,9.7223,0.4381,-0.2973,-0.0219,0.0087,0.005,0.0769,0.0,126.93,506.6,-29.59,346.13,-7.39,1.47,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,128,2019-09-17 01:40:53:752
0.131,0.9725,9.8215,-0.2427,1.2588,9.7225,0.4108,-0.2747,-0.0254,-0.0078,0.0162,0.0524,0.0,126.93,506.15,-29.28,345.99,-7.38,1.43,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,149,2019-09-17 01:40:53:773
0.1286,1.0108,9.7832,-0.2418,1.2553,9.723,0.3691,-0.252,0.0209,-0.0078,0.0034,0.0354,0.0,126.47,506.44,-30.18,345.99,-7.38,1.43,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,167,2019-09-17 01:40:53:791
0.119,1.0084,9.7784,-0.2405,1.2535,9.7232,0.3415,-0.2645,-0.0163,-0.0089,0.0029,0.0242,0.0,125.4,506.57,-30.78,346.24,-7.34,1.42,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,187,2019-09-17 01:40:53:811
0.0352,1.0252,9.8263,-0.2399,1.2511,9.7236,0.2847,-0.2154,0.0445,-0.003,0.013,0.021,0.0,126.17,506.9,-29.31,346.24,-7.34,1.42,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,208,2019-09-17 01:40:53:832
0.0711,1.0132,9.8574,-0.2393,1.2485,9.7239,0.32,-0.2535,0.0048,-0.0073,-0.004,0.0034,0.0,125.87,507.36,-29.62,346.13,-7.32,1.42,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,228,2019-09-17 01:40:53:852
0.1214,1.0683,9.7473,-0.229,1.2417,9.725,0.336,-0.182,0.0094,-0.0115,-0.0285,-0.0142,0.0,125.87,505.82,-30.31,346.13,-7.32,1.42,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,248,2019-09-17 01:40:53:872
0.0855,1.0731,9.6922,-0.2172,1.2358,9.7261,0.293,-0.1567,-0.1142,-0.0238,-0.0227,-0.0285,0.0,126.48,505.98,-29.72,346.09,-7.24,1.28,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,267,2019-09-17 01:40:53:891
0.0184,1.1712,9.6084,-0.2028,1.2265,9.7275,0.2017,-0.0567,-0.1638,-0.0291,-0.02,-0.0269,0.0,126.61,507.35,-30.36,346.09,-7.24,1.28,67.84592,20.221346,1681.43,NaN,0.0,10.374194,,26 / 35,288,2019-09-17 01:40:53:912
